Auckland,Christchurch,Dunedin,Hamilton,Lower Hutt,North Shore,Tauranga,Waitakere,Wellington
12.951,8.943999999999999,7.558,12.087000000000002,10.949000000000002,12.951,11.816,12.951,10.949000000000002
14.728,11.284,10.236,14.477,13.355,14.728,13.927,14.728,13.355
15.993,11.771,10.619000000000002,15.659,13.918,15.993,15.009,15.993,13.918
18.208,13.219,12.455,18.268,16.083,18.208,17.223,18.208,16.083
18.393,13.899,13.087,18.164,16.184,18.393,17.14,18.393,16.184
17.369,12.285,10.611,16.377,14.823,17.369,15.623,17.369,14.823
16.177999999999994,10.587,7.346999999999999,14.382,13.142,16.177999999999994,14.122,16.177999999999994,13.142
13.7,7.500999999999999,2.724,11.079,10.361,13.7,11.412,13.7,10.361
12.683,6.698,1.4509999999999998,9.929,9.609,12.683,10.45,12.683,9.609
10.805,5.691999999999998,1.163,7.9929999999999986,7.908999999999999,10.805,8.668999999999999,10.805,7.908999999999999
11.618,7.359,3.622,9.435,9.318,11.618,9.884,11.618,9.318
12.143,9.159,6.778,10.905,10.787,12.143,11.005999999999998,12.143,10.787
13.327,9.636,8.261000000000001,12.510000000000002,11.475,13.327,12.189,13.327,11.475
15.241,10.961,9.941999999999998,14.778,13.32,15.241,14.248,15.241,13.32
17.217,14.326,14.149,17.308,16.045,17.217,16.351,17.217,16.045
18.539,14.255999999999998,13.543,18.547,16.647000000000002,18.539,17.852,18.539,16.647000000000002
18.843,14.15,12.738,18.551,16.819000000000006,18.843,17.689999999999994,18.843,16.819000000000006
17.990000000000006,11.447,9.556,16.779,14.311,17.990000000000006,15.928,17.990000000000006,14.311
15.572,9.217,5.92,13.725,12.118,15.572,13.509,15.572,12.118
14.332999999999998,8.081,3.585,11.897,11.23,14.332999999999998,12.305,14.332999999999998,11.23
13.443,7.865,2.427,10.704,10.85,13.443,11.428,13.443,10.85
11.837,6.033,0.989,9.039,8.926,11.837,9.728,11.837,8.926
11.613,6.074,1.797,9.284,8.644,11.613,9.748,11.613,8.644
12.287,8.152999999999999,5.872000000000001,10.882,10.114,12.287,10.816,12.287,10.114
13.928,10.171,8.215,13.127,12.143,13.928,12.681,13.928,12.143
16.194000000000003,12.125,10.51,15.706,14.209,16.194000000000003,15.087,16.194000000000003,14.209
15.092,10.969,10.459,14.736999999999998,13.035,15.092,14.061,15.092,13.035
17.174999999999994,14.292,13.913,17.152,15.81,17.174999999999994,15.691,17.174999999999994,15.81
17.782,12.651,11.875,17.258000000000006,15.145,17.782,15.939,17.782,15.145
17.41,12.87,10.996,16.502,15.140999999999998,17.41,15.592999999999998,17.41,15.140999999999998
15.367,10.424,7.718999999999999,13.68,12.578,15.367,13.216,15.367,12.578
14.562,8.077,3.811,11.981,10.882,14.562,12.244000000000002,14.562,10.882
12.65,6.0920000000000005,0.977,9.688,9.113,12.65,10.212,12.65,9.113
12.318,6.502000000000001,1.351,9.481,9.329,12.318,10.262,12.318,9.329
